shipper,shippers_reference,vessel_aircraft,voyage_no,place_of_receipt,port_of_loading,port_of_discharge,place_of_delivery,final_destination,ping_seq,ping_time,t_hours,latitude,longitude,speed_knots,heading
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",13,2026-08-02 01:29,25.49,24.7303,59.3394,15.0,118.5
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",14,2026-08-02 02:59,26.99,24.5712,59.7391,15.4,102.2
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",15,2026-08-02 04:29,28.49,24.4828,60.1667,15.7,102.2
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",16,2026-08-02 05:59,29.99,24.3943,60.5942,16.0,102.2
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",17,2026-08-02 07:29,31.49,24.3058,61.0218,16.3,102.2
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",18,2026-08-02 08:59,32.99,24.2174,61.4493,16.6,102.2
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",19,2026-08-02 10:29,34.49,24.1289,61.8768,17.0,102.2
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",20,2026-08-02 11:59,35.99,24.0405,62.3044,15.2,102.2
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",21,2026-08-02 13:29,37.49,24.0236,62.7361,15.5,83.1
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",22,2026-08-02 14:59,38.99,24.0671,63.1714,15.8,83.1
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",23,2026-08-02 16:29,40.49,24.1107,63.6067,16.2,83.1
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",24,2026-08-02 17:59,41.99,24.1542,64.042,16.5,83.1
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",25,2026-08-02 19:29,43.49,24.1977,64.4773,16.8,83.1
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",26,2026-08-02 20:59,44.98,24.2413,64.9126,15.0,83.1
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",27,2026-08-02 22:29,46.48,24.2848,65.3479,15.4,83.1
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",28,2026-08-02 23:58,47.98,24.3962,65.7656,15.7,68.0
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",29,2026-08-03 01:28,49.48,24.5442,66.1737,16.0,68.0
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",30,2026-08-03 02:58,50.98,24.6921,66.5819,16.3,68.0
Meridian Electronics FZE,MEF/2026/04417,GULF MERIDIAN,GM-2604E,"Dubai Investment Park, AE","Jebel Ali, AE","Karachi, PK",Karachi ICD Bin Qasim,"Lahore, Pakistan",31,2026-08-03 04:28,52.48,24.84,66.99,2.4,68.0
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",0,2026-08-02 06:00,30.0,27.15,56.21,3.2,136.0
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",1,2026-08-02 06:29,30.5,27.0964,56.2679,8.6,136.0
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",2,2026-08-02 06:59,30.99,27.0428,56.3258,8.8,136.0
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",3,2026-08-02 07:29,31.49,26.9892,56.3837,9.0,136.0
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",4,2026-08-02 07:59,31.98,26.9356,56.4416,9.2,136.0
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",5,2026-08-02 08:28,32.48,26.8761,56.4884,9.4,162.6
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",6,2026-08-02 08:58,32.98,26.8051,56.5132,9.5,162.6
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",7,2026-08-02 09:28,33.47,26.7341,56.538,8.5,162.6
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",8,2026-08-02 09:58,33.97,26.6632,56.5629,8.7,162.6
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",9,2026-08-02 10:27,34.47,26.5922,56.5877,8.9,162.6
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",10,2026-08-02 10:57,34.96,26.5212,56.6126,9.1,162.6
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",11,2026-08-02 11:27,35.46,26.4488,56.6314,9.3,168.7
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",12,2026-08-02 11:57,35.95,26.3758,56.6476,9.5,168.7
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",13,2026-08-02 12:27,36.45,26.3029,56.6638,8.5,168.7
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",14,2026-08-02 12:56,36.95,26.2299,56.68,8.6,168.7
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",15,2026-08-02 13:26,37.44,26.157,56.6962,8.8,168.7
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",16,2026-08-02 13:56,37.94,26.084,56.7124,9.0,168.7
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",17,2026-08-02 14:26,38.44,26.0129,56.7355,9.2,159.3
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",18,2026-08-02 14:55,38.93,25.9433,56.7647,9.4,159.3
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",19,2026-08-02 15:25,39.43,25.8737,56.7938,9.5,159.3
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",20,2026-08-02 15:55,39.92,25.8041,56.823,8.5,159.3
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",21,2026-08-02 16:25,40.42,25.7345,56.8521,8.7,159.3
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",22,2026-08-02 16:55,40.92,25.6648,56.8812,8.9,159.3
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",23,2026-08-02 17:24,41.41,25.5998,56.8811,9.1,220.2
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",24,2026-08-02 17:54,41.91,25.5429,56.828,9.3,220.2
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",25,2026-08-02 18:24,42.41,25.486,56.7749,9.5,220.2
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",26,2026-08-02 18:54,42.9,25.4291,56.7218,8.5,220.2
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",27,2026-08-02 19:23,43.4,25.3722,56.6688,8.6,220.2
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",28,2026-08-02 19:53,43.89,25.3155,56.6155,8.8,222.2
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",29,2026-08-02 20:23,44.39,25.2603,56.5603,9.0,222.2
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",30,2026-08-02 20:53,44.89,25.2052,56.5052,9.2,222.2
Dawn Petrochem Trading Ltd,DPT-26-0881,PERSIAN DAWN,PD-118S,"Bandar Abbas Terminal 3, IR","Bandar Abbas, IR","Fujairah, AE",Fujairah Oil Terminal,"Fujairah, United Arab Emirates",31,2026-08-02 21:22,45.38,25.15,56.45,2.4,222.2
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,0,2026-08-01 00:00,0.0,31.23,121.5,3.2,149.5
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,1,2026-08-01 04:29,4.49,30.2283,122.176,14.9,149.5
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,2,2026-08-01 08:58,8.98,29.188,122.4529,15.2,197.7
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,3,2026-08-01 13:28,13.47,28.0825,122.058,15.5,197.7
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,4,2026-08-01 17:57,17.96,26.977,121.6632,15.8,197.7
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,5,2026-08-01 22:26,22.45,25.9941,120.9956,16.1,214.6
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,6,2026-08-02 02:56,26.94,25.0346,120.276,16.4,214.6
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,7,2026-08-02 07:25,31.42,24.0751,119.5563,14.7,214.6
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,8,2026-08-02 11:54,35.91,23.2147,118.7147,15.0,223.2
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,9,2026-08-02 16:24,40.4,22.3627,117.8627,15.3,223.2
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,10,2026-08-02 20:53,44.89,21.5107,117.0107,15.7,223.2
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,11,2026-08-03 01:22,49.38,20.7207,116.1094,16.0,227.8
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,12,2026-08-03 05:52,53.87,19.9315,115.2074,16.3,227.8
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,13,2026-08-03 10:21,58.36,19.1423,114.3055,14.6,227.8
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,14,2026-08-03 14:50,62.85,18.3531,113.4036,14.9,227.8
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,15,2026-08-03 19:20,67.34,17.423,112.7115,15.2,206.1
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,16,2026-08-03 23:49,71.83,16.3789,112.1895,15.5,206.1
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,17,2026-08-04 04:18,76.32,15.3348,111.6674,15.8,206.1
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,18,2026-08-04 08:48,80.81,14.2906,111.1453,16.1,206.1
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,19,2026-08-04 13:17,85.29,13.2465,110.6233,16.4,206.1
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,20,2026-08-04 17:47,89.78,12.3041,109.9433,14.7,218.6
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,21,2026-08-04 22:16,94.27,11.3931,109.2144,15.0,218.6
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,22,2026-08-05 02:45,98.76,10.482,108.4856,15.3,218.6
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,23,2026-08-05 07:15,103.25,9.571,107.7568,15.7,218.6
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,24,2026-08-05 11:44,107.74,8.66,107.028,16.0,218.6
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,25,2026-08-05 16:13,112.23,7.6951,106.4047,16.3,197.4
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,26,2026-08-05 20:43,116.72,6.5884,106.0589,14.6,197.4
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,27,2026-08-06 01:12,121.21,5.4818,105.7131,14.9,197.4
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,28,2026-08-06 05:41,125.7,4.3751,105.3672,15.2,197.4
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,29,2026-08-06 10:11,130.19,3.2684,105.0214,15.5,197.4
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,30,2026-08-06 14:40,134.68,2.2658,104.4433,15.8,210.8
Horizon Apparel Manufacturing Co,HAM/SH/26/2210,EASTERN HORIZON,EH-0977W,"Suzhou Industrial Park, CN","Shanghai, CN",Singapore,Jurong Warehouse 12,Singapore,31,2026-08-06 19:09,139.16,1.27,103.85,2.4,210.8
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",0,2026-08-01 12:00,12.0,51.95,4.05,3.2,240.3
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",1,2026-08-01 18:10,18.18,51.057,1.636,16.3,239.3
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",2,2026-08-02 00:21,24.36,50.1353,-0.7101,16.7,239.3
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",3,2026-08-02 06:32,30.54,49.5712,-3.2678,17.0,253.3
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",4,2026-08-02 12:43,36.72,48.7169,-5.4473,17.3,212.8
